programAk,tradeName,displayTradeName,promptTradeName,socCode,description
3914,Elevator/Escalator Constructor & Modernizer,Elevator/Escalator Constructor and Modernizer,Elevator/Escalator Constructor and Modernizer,47-4021.00,"An Elevator/Escalator Constructor and Modernizer installs, rebuilds, and updates elevators, escalators, and moving walkways in buildings. They assemble rails, cars, doors, motors, wiring, and control systems, then test, adjust, and repair equipment so it runs smoothly. Their work keeps people and goods moving safely and reliably through everyday places like offices, malls, and hospitals."
3937,Operating Engineer (Universal Equipment),Operating Engineer,Operating Engineer (Universal Equipment),47-2073.00,"An Operating Engineer runs heavy equipment used to move earth and materials on construction and industrial sites. They sit in bulldozers, loaders, excavators, and similar machines to dig, grade, lift, trench, and clear ground, while checking controls and watching site conditions. Their work helps build roads, foundations, and utility systems and keeps projects moving safely."
3971,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
3984,Elevator Servicer and Repairer,Elevator Servicer and Repairer,Elevator Servicer and Repairer,47-4021.00,"An Elevator Servicer and Repairer installs, inspects, fixes, and maintains elevators, escalators, moving walkways, and lifts. They test controls, replace worn parts, adjust cables and doors, trace electrical or mechanical problems, and respond to breakdowns in homes, offices, hospitals, and malls. Their work keeps people and goods moving safely and equipment running reliably."
4017,Bricklayer Mason and Plasterer,Bricklayer Mason and Plasterer,Bricklayer Mason and Plasterer,47-2021.00,"A Bricklayer Mason and Plasterer builds and repairs walls, chimneys, fireplaces, and other structures using brick, block, stone, mortar, and plaster. They spread mortar, lay materials in straight lines, smooth plaster onto walls and ceilings, and patch damaged surfaces. Their work builds strong, finished surfaces that protect buildings and keep them safe and weather-resistant."
4048,Operating Engineer (Universal Equipment),Operating Engineer,Operating Engineer (Universal Equipment),47-2073.00,"An Operating Engineer runs heavy equipment used to move earth and materials on construction and industrial sites. They sit in bulldozers, loaders, excavators, and similar machines to dig, grade, lift, trench, and clear ground, while checking controls and watching site conditions. Their work helps build roads, foundations, and utility systems and keeps projects moving safely."
4059,Electro-Mechanical Technician,Electro-Mechanical Technician,Electro-Mechanical Technician,17-3024.00,"An Electro-Mechanical Technician installs, tests, repairs, and maintains machines that use both electrical parts and moving mechanical systems. They trace wiring, replace sensors or motors, adjust belts and gears, and use meters and tools to find problems. Their work keeps equipment running safely and smoothly in factories, buildings, and other workplaces."
4078,Dry Wall Taper (Finisher),Drywall Taper,Dry Wall Taper (Finisher),47-2082.00,"A Drywall Taper, also called a finisher, smooths and prepares drywall walls and ceilings for painting or wallpaper. They spread joint compound over seams and screw holes, press tape into joints, sand rough spots, and blend corners until surfaces look flat and clean. Their work makes rooms look finished and keeps walls smooth, solid, and ready to use."
4082,Industrial Hygienist,Industrial Hygienist,Industrial Hygienist,19-5011.00,"An Industrial Hygienist finds and controls health hazards in workplaces like factories, labs, hospitals, and construction sites. They walk through work areas, take samples of air, noise, dust, or chemicals, review jobs and equipment, and recommend safer ways to work. Their work helps keep workers healthy and job sites safer and in good working order."
4101,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
4123,Multi-Story Window and Building Surface Cleaner,Multi-Story Window and Building Surface Cleaner,Multi-Story Window and Building Surface Cleaner,37-2011.00,"A Multi-Story Window and Building Surface Cleaner cleans windows, walls, and other outside building surfaces on tall buildings. They work from suspended platforms, swing stages, ladders, or lifts, washing glass, scraping off grime, and applying cleaning solutions with squeegees and brushes. Their work keeps buildings looking cared for, windows clear, and surfaces safer and well maintained."
4137,Industrial Manufacturing Technician,Industrial Manufacturing Technician,Industrial Manufacturing Technician,17-3026.00,"An Industrial Manufacturing Technician sets up, runs, and monitors machines that make parts and products in factories. They load materials, check measurements, adjust equipment, replace worn tools, and inspect finished items for quality while keeping the work area clean and safe. Their work keeps production lines running, products consistent, and equipment working properly."
4145,Iron Worker (Outside),Iron Worker,Iron Worker (Outside),47-2221.00,"An outside Iron Worker builds and repairs the steel skeletons of buildings, bridges, towers, and other large structures. They unload and position heavy beams, bolt and weld pieces together, install metal decking, and work high above the ground using cranes, lifts, and safety gear. Their work helps keep structures strong, stable, and safe to use."
4154,Electronics Technician (Manufacturing Only),Electronics Technician,Electronics Technician (Manufacturing Only),49-2094.00,"An Electronics Technician in manufacturing builds, tests, troubleshoots, and repairs electronic parts and equipment used on factory lines. They read diagrams, use meters and soldering tools, replace faulty components, and help set up or adjust machines and control systems. Their work keeps production equipment running, products working properly, and factory operations safer and more reliable."
